env,method,seed,timestep,return,ep_length
car_flag,cgf,5,580000,0.3620000000000001,64.8
car_flag,cgf,5,600000,0.41200000000000003,59.8
car_flag,cgf,5,620000,0.4415,56.85
car_flag,cgf,5,640000,0.513,49.7
car_flag,cgf,5,660000,0.4065,60.35
car_flag,cgf,5,680000,0.45150000000000007,55.85
car_flag,cgf,5,700000,0.396,61.4
car_flag,cgf,5,720000,0.41100000000000003,59.9
car_flag,cgf,5,740000,0.36100000000000004,64.9
car_flag,cgf,5,760000,0.40199999999999997,60.8
car_flag,cgf,5,780000,0.45,56.0
car_flag,cgf,5,800000,0.3435,66.65
car_flag,cgf,5,820000,0.442,56.8
car_flag,cgf,5,840000,0.46499999999999997,54.5
car_flag,cgf,5,860000,0.3315,67.85
car_flag,cgf,5,880000,0.45599999999999996,55.4
car_flag,cgf,5,900000,0.43550000000000005,57.45
car_flag,cgf,5,920000,0.385,62.5
car_flag,cgf,5,940000,0.4680000000000001,54.2
car_flag,cgf,5,960000,0.40549999999999997,60.45
car_flag,cgf,5,980000,0.4405,56.95
car_flag,cgf,5,1000000,0.42349999999999993,58.65
car_flag,cgf,6,20000,-0.6535,120.9
car_flag,cgf,6,40000,0.053000000000000005,95.7
car_flag,cgf,6,60000,0.398,61.2
car_flag,cgf,6,80000,0.359,65.1
car_flag,cgf,6,100000,0.3229999999999999,68.7
car_flag,cgf,6,120000,0.43200000000000005,57.8
car_flag,cgf,6,140000,0.37649999999999995,63.35
car_flag,cgf,6,160000,0.38299999999999995,62.7
car_flag,cgf,6,180000,0.364,64.6
car_flag,cgf,6,200000,0.41150000000000003,59.85
car_flag,cgf,6,220000,0.4535,55.65
car_flag,cgf,6,240000,0.39799999999999996,61.2
car_flag,cgf,6,260000,0.5175,49.25
car_flag,cgf,6,280000,0.39499999999999996,61.5
car_flag,cgf,6,300000,0.3175,69.25
car_flag,cgf,6,320000,0.402,60.8
car_flag,cgf,6,340000,0.49850000000000005,51.15
car_flag,cgf,6,360000,0.4225,58.75
car_flag,cgf,6,380000,0.34299999999999997,66.7
car_flag,cgf,6,400000,0.32799999999999996,68.2
car_flag,cgf,6,420000,0.4835000000000001,52.65
car_flag,cgf,6,440000,0.41,60.0
car_flag,cgf,6,460000,0.4499999999999999,56.0
car_flag,cgf,6,480000,0.37750000000000006,63.25
car_flag,cgf,6,500000,0.36150000000000004,64.85
car_flag,cgf,6,520000,0.457,55.3
car_flag,cgf,6,540000,0.43400000000000005,57.6
car_flag,cgf,6,560000,0.28800000000000003,72.2
car_flag,cgf,6,580000,0.4245,58.55
car_flag,cgf,6,600000,0.3735,63.65
car_flag,cgf,6,620000,0.4095000000000001,60.05
car_flag,cgf,6,640000,0.543,46.7
car_flag,cgf,6,660000,0.5155,49.45
car_flag,cgf,6,680000,0.3445,66.55
car_flag,cgf,6,700000,0.434,57.6
car_flag,cgf,6,720000,0.37849999999999995,63.15
car_flag,cgf,6,740000,0.44699999999999995,56.3
car_flag,cgf,6,760000,0.4495,56.05
car_flag,cgf,6,780000,0.44800000000000006,56.2
car_flag,cgf,6,800000,0.4585,55.15
car_flag,cgf,6,820000,0.3715,63.85
car_flag,cgf,6,840000,0.39849999999999997,61.15
car_flag,cgf,6,860000,0.4205,58.95
car_flag,cgf,6,880000,0.4450000000000001,56.5
car_flag,cgf,6,900000,0.3835,62.65
car_flag,cgf,6,920000,0.47300000000000003,53.7
car_flag,cgf,6,940000,0.4225,58.75
car_flag,cgf,6,960000,0.364,64.6
car_flag,cgf,6,980000,0.5030000000000001,50.7
car_flag,cgf,6,1000000,0.28400000000000003,72.6
car_flag,cgf,7,20000,-0.76,126.5
car_flag,cgf,7,40000,0.11349999999999998,89.65
car_flag,cgf,7,60000,0.31300000000000006,69.7
car_flag,cgf,7,80000,0.44699999999999995,56.3
car_flag,cgf,7,100000,0.3999999999999999,61.0
car_flag,cgf,7,120000,0.364,64.6
car_flag,cgf,7,140000,0.389,62.1
car_flag,cgf,7,160000,0.43550000000000005,57.45
car_flag,cgf,7,180000,0.3465,66.35
car_flag,cgf,7,200000,0.374,63.6
car_flag,cgf,7,220000,0.38899999999999996,62.1
car_flag,cgf,7,240000,0.39300000000000007,61.7
car_flag,cgf,7,260000,0.45499999999999996,55.5
car_flag,cgf,7,280000,0.39849999999999997,61.15
car_flag,cgf,7,300000,0.36350000000000005,64.65
car_flag,cgf,7,320000,0.318,69.2
car_flag,cgf,7,340000,0.454,55.6
car_flag,cgf,7,360000,0.358,65.2
car_flag,cgf,7,380000,0.4385,57.15
car_flag,cgf,7,400000,0.47450000000000003,53.55
car_flag,cgf,7,420000,0.45200000000000007,55.8
car_flag,cgf,7,440000,0.4269999999999999,58.3
car_flag,cgf,7,460000,0.4055000000000001,60.45
car_flag,cgf,7,480000,0.3205,68.95
car_flag,cgf,7,500000,0.4375,57.25
car_flag,cgf,7,520000,0.4779999999999999,53.2
car_flag,cgf,7,540000,0.378,63.2
car_flag,cgf,7,560000,0.4010000000000001,60.9
car_flag,cgf,7,580000,0.48699999999999993,52.3
car_flag,cgf,7,600000,0.30650000000000005,70.35
car_flag,cgf,7,620000,0.381,62.9
car_flag,cgf,7,640000,0.38350000000000006,62.65
car_flag,cgf,7,660000,0.29050000000000004,71.95
car_flag,cgf,7,680000,0.4445,56.55
car_flag,cgf,7,700000,0.32,69.0
car_flag,cgf,7,720000,0.445,56.5
car_flag,cgf,7,740000,0.48450000000000004,52.55
car_flag,cgf,7,760000,0.44399999999999995,56.6
car_flag,cgf,7,780000,0.388,62.2
car_flag,cgf,7,800000,0.353,65.7
car_flag,cgf,7,820000,0.36749999999999994,64.25
car_flag,cgf,7,840000,0.454,55.6
car_flag,cgf,7,860000,0.37,64.0
car_flag,cgf,7,880000,0.43000000000000005,58.0
car_flag,cgf,7,900000,0.4605,54.95
car_flag,cgf,7,920000,0.38900000000000007,62.1
car_flag,cgf,7,940000,0.41899999999999993,59.1
car_flag,cgf,7,960000,0.381,62.9
car_flag,cgf,7,980000,0.40199999999999997,60.8
car_flag,cgf,7,1000000,0.44899999999999995,56.1
car_flag,cgf,8,20000,-0.5795,88.95
car_flag,cgf,8,40000,-0.55,56.0
car_flag,cgf,8,60000,-0.6309999999999999,44.1
car_flag,cgf,8,80000,-0.417,42.7
car_flag,cgf,8,100000,-0.28650000000000003,39.65
car_flag,cgf,8,120000,-0.8805,39.05
car_flag,cgf,8,140000,-0.39649999999999996,40.65
car_flag,cgf,8,160000,-0.4939999999999999,40.4
car_flag,cgf,8,180000,-0.982,39.2
car_flag,cgf,8,200000,-0.6735,38.35
car_flag,cgf,8,220000,-0.46849999999999997,37.85
car_flag,cgf,8,240000,-0.475,38.5
